movie_id,title,budget,budget_log,revenue_usd,release_year,release_month,is_action,is_comedy,is_drama,is_horror,is_sciencefiction,is_animation,is_romance,is_thriller,num_genres,primary_genre,director_name,lead_actor,director_avg_past_rating,lead_actor_avg_rating,sidecast_avg_rating,genre_trend_score,imdb_rating
522,Ed Wood,18000000,16.705882371415992,5887457,1994,9,0,1,1,0,0,0,0,0,3,Comedy,Tim Burton,Johnny Depp,7.050000000000001,7.3999999999999995,6.550000000000001,54443890.24975921,7.3
11596,New Nightmare,14000000,16.454567959008102,18090181,1994,10,0,0,0,1,0,0,0,1,4,Horror,Wes Craven,Heather Langenkamp,7.2,6.85,6.0600000000000005,53190936.65463917,6.4
8984,Disclosure,55000000,17.822843761378564,214015089,1994,12,0,0,1,0,0,0,1,1,5,Drama,Barry Levinson,Michael Douglas,7.35,6.6000000000000005,7.0,-10850277.647253789,5.9
76,Before Sunrise,2500000,14.731801689838349,5535405,1995,1,0,0,1,0,0,0,1,0,2,Drama,Richard Linklater,Ethan Hawke,7.4,7.1000000000000005,6.1,-2660704.736997381,7.7
8963,Crimson Tide,53000000,17.78580249038432,157387195,1995,5,1,0,1,0,0,0,0,1,3,Action,Tony Scott,Denzel Washington,6.550000000000001,6.959999999999999,7.037037037037037,-46416503.922576845,7.0
688,The Bridges of Madison County,24000000,16.993564429978885,182016617,1995,5,0,0,1,0,0,0,1,0,2,Drama,Clint Eastwood,Meryl Streep,6.866666666666667,7.033333333333334,6.783333333333334,-2660704.736997381,7.3
414,Batman Forever,100000000,18.420680753952364,336529144,1995,5,1,0,0,0,0,0,0,0,3,Action,Joel Schumacher,Val Kilmer,6.5,6.933333333333334,6.6312500000000005,-46416503.922576845,5.2
568,Apollo 13,52000000,17.76675429577647,355237933,1995,6,0,0,1,0,0,0,0,0,1,Drama,Ron Howard,Tom Hanks,6.1,7.1,7.20125,-2660704.736997381,7.3
807,Se7en,33000000,17.312018149733785,327311859,1995,9,0,0,0,0,0,0,0,1,3,Crime,David Fincher,Brad Pitt,6.2,7.2,6.135,64449552.04444446,8.1
9691,Assassins,50000000,17.72753358339242,30303072,1995,10,1,0,0,0,0,0,0,1,4,Action,Richard Donner,Sylvester Stallone,6.779999999999999,6.3100000000000005,6.933333333333334,-46416503.922576845,6.0
12158,Vampire in Brooklyn,14000000,16.454567959008102,19800000,1995,10,0,1,0,1,0,0,1,0,3,Comedy,Wes Craven,Eddie Murphy,6.800000000000001,6.083333333333333,7.15,-29171534.550240777,4.5
9087,The American President,62000000,17.9426449591384,107879496,1995,11,0,1,1,0,0,0,1,0,3,Comedy,Rob Reiner,Michael Douglas,7.449999999999999,6.425000000000001,7.225,-29171534.550240777,6.5
524,Casino,52000000,17.76675429577647,116112375,1995,11,0,0,1,0,0,0,0,0,2,Drama,Martin Scorsese,Robert De Niro,7.35,7.666666666666667,6.779166666666667,-2660704.736997381,7.8
10858,Nixon,44000000,17.599700214609808,13681765,1995,12,0,0,1,0,0,0,0,0,2,History,Oliver Stone,Anthony Hopkins,7.016666666666667,7.383333333333334,6.692,-91463376.47058824,7.1
1408,Cutthroat Island,98000000,18.400478046838927,10017322,1995,12,1,0,0,0,0,0,0,0,2,Action,Renny Harlin,Geena Davis,6.279999999999999,6.9,6.0,-46416503.922576845,5.7
10534,White Squall,38000000,17.453096744006448,10300000,1996,2,1,0,1,0,0,0,0,0,2,Action,Ridley Scott,Jeff Bridges,7.333333333333333,7.2,7.4,56110419.812465906,6.3
954,Mission: Impossible,80000000,18.197537205138154,457696359,1996,5,1,0,0,0,0,0,0,1,3,Adventure,Brian De Palma,Tom Cruise,7.0,6.555555555555556,7.366666666666667,-110767297.52707583,6.7
9802,The Rock,75000000,18.132998684833918,335062621,1996,6,1,0,0,0,0,0,0,1,3,Action,Michael Bay,Sean Connery,6.5,6.622222222222222,6.475,56110419.812465906,6.9
11543,Kingpin,27000000,17.11134746100564,25023434,1996,7,0,1,0,0,0,0,0,0,1,Comedy,Bobby Farrelly,Woody Harrelson,6.5,5.4,6.641666666666666,-29060123.164526492,6.7
1645,A Time to Kill,40000000,17.50439003707821,152266007,1996,7,0,0,1,0,0,0,0,1,3,Crime,Joel Schumacher,Matthew McConaughey,6.175,6.9,6.57,29228373.47777778,7.0
10061,Escape from L.A.,50000000,17.72753358339242,42277365,1996,8,1,0,0,0,1,0,0,1,4,Action,John Carpenter,Kurt Russell,6.9142857142857155,6.849999999999999,6.866666666666667,56110419.812465906,5.6
9566,The Fan,55000000,17.822843761378564,18626419,1996,8,0,0,1,0,0,0,0,1,3,Drama,Tony Scott,Robert De Niro,6.640000000000001,7.68,6.1000000000000005,-20579600.18234151,5.7
11412,The Long Kiss Goodnight,65000000,17.989897843244528,89456761,1996,10,1,0,0,0,0,0,0,1,4,Crime,Renny Harlin,Geena Davis,6.183333333333334,6.5,6.45,29228373.47777778,6.5
819,Sleepers,44000000,17.599700214609808,165615285,1996,10,0,0,1,0,0,0,0,1,3,Crime,Barry Levinson,Robert De Niro,6.866666666666667,7.5,7.055555555555556,29228373.47777778,7.3
3595,Ransom,80000000,18.197537205138154,309492681,1996,11,1,0,0,0,0,0,0,1,2,Action,Ron Howard,Mel Gibson,6.699999999999999,6.728571428571429,6.834444444444444,56110419.812465906,6.4
11228,Daylight,80000000,18.197537205138154,159212469,1996,12,1,0,0,0,0,0,0,1,3,Action,Rob Cohen,Sylvester Stallone,6.4,6.281818181818182,5.961111111111111,56110419.812465906,5.8
75,Mars Attacks!,70000000,18.064005814299346,101371017,1996,12,0,1,0,0,1,0,0,0,3,Comedy,Tim Burton,Jack Nicholson,7.1,7.5,6.454166666666667,-29060123.164526492,6.1
66,Absolute Power,50000000,17.72753358339242,50068310,1997,2,0,0,1,0,0,0,0,1,3,Crime,Clint Eastwood,Clint Eastwood,6.9750000000000005,6.857142857142857,6.61952380952381,-11976893.212698407,6.4
2255,Chasing Amy,250000,12.429220196836383,12021272,1997,4,0,1,1,0,0,0,1,0,3,Comedy,Kevin Smith,Ben Affleck,7.1,6.8,7.1,42778675.41339558,6.7
330,The Lost World: Jurassic Park,73000000,18.105970012811294,229074524,1997,5,1,0,0,0,1,0,0,0,3,Adventure,Steven Spielberg,Jeff Goldblum,7.199999999999999,7.15,6.93,-87798032.77707583,6.2
415,Batman & Robin,125000000,18.643824303266577,238207122,1997,6,1,0,0,0,0,0,0,0,3,Action,Joel Schumacher,George Clooney,6.34,6.9,6.526666666666666,-12254053.268982053,4.2
686,Contact,90000000,18.31532023940565,171120329,1997,7,0,0,1,0,1,0,0,0,3,Drama,Robert Zemeckis,Jodie Foster,7.4,8.05,6.85625,93592720.53902073,7.2
8834,Conspiracy Theory,75000000,18.132998684833918,136982834,1997,8,1,0,1,0,0,0,0,1,4,Action,Richard Donner,Mel Gibson,6.6499999999999995,6.6875,6.553571428571429,-12254053.268982053,6.5
8413,Event Horizon,60000000,17.909855136853043,26673242,1997,8,0,0,0,1,1,0,0,0,3,Horror,Paul W.S. Anderson,Laurence Fishburne,5.4,6.7749999999999995,6.816666666666666,21958363.40463917,6.5
4421,G.I. Jane,50000000,17.72753358339242,48169156,1997,8,1,0,1,0,0,0,0,0,2,Action,Ridley Scott,Demi Moore,7.075,6.099999999999999,7.1875,-12254053.268982053,6.0
2639,Deconstructing Harry,20000000,16.811242881518265,10686841,1997,8,0,1,1,0,0,0,0,0,2,Comedy,Woody Allen,Woody Allen,7.025,7.025,6.7,42778675.41339558,7.3
2649,The Game,50000000,17.72753358339242,109423648,1997,9,0,0,1,0,0,0,0,1,3,Drama,David Fincher,Michael Douglas,7.15,6.433333333333334,5.825,93592720.53902073,7.5
11975,The Rainmaker,40000000,17.50439003707821,45916769,1997,11,0,0,1,0,0,0,0,1,3,Drama,Francis Ford Coppola,Matt Damon,7.311111111111111,6.2,6.534722222222222,93592720.53902073,6.7
8197,Midnight in the Garden of Good and Evil,35000000,17.370858648025116,25105255,1997,11,0,0,1,0,0,0,0,1,4,Crime,Clint Eastwood,John Cusack,6.860000000000001,6.95,6.416666666666667,-11976893.212698407,6.3
11831,Amistad,36000000,17.399029524198163,74000000,1997,12,0,0,1,0,0,0,0,0,3,Drama,Steven Spielberg,Morgan Freeman,7.123076923076923,7.011111111111111,6.492063492063491,93592720.53902073,6.8
4233,Scream 2,24000000,16.993564429978885,172363301,1997,12,0,0,0,1,0,0,0,0,2,Horror,Wes Craven,David Arquette,6.275,7.0,6.316666666666667,21958363.40463917,6.1
586,Wag the Dog,15000000,16.52356082573315,64256513,1997,12,0,1,1,0,0,0,0,0,2,Comedy,Barry Levinson,Dustin Hoffman,6.9750000000000005,6.35,6.989285714285714,42778675.41339558,6.7
10153,Sphere,75000000,18.132998684833918,13100000,1998,2,0,0,0,0,1,0,0,0,1,Science Fiction,Barry Levinson,Dustin Hoffman,6.92,6.388888888888889,6.873749999999999,-147134092.63157895,5.8
42807,The Newton Boys,27000000,17.11134746100564,76000000,1998,3,1,0,1,0,0,0,0,0,3,Crime,Richard Linklater,Matthew McConaughey,7.550000000000001,6.9750000000000005,7.01111111111111,13488283.64444445,5.9
95,Armageddon,140000000,18.757152987716434,553799566,1998,7,1,0,0,0,1,0,0,1,4,Action,Michael Bay,Bruce Willis,6.7,6.766666666666667,6.843333333333334,-10843927.200354606,6.4
944,Lethal Weapon 4,140000000,18.757152987716434,285444603,1998,7,1,1,0,0,0,0,0,1,5,Action,Richard Donner,Mel Gibson,6.628571428571428,6.666666666666667,6.68015873015873,-10843927.200354606,6.3
544,There's Something About Mary,23000000,16.951004817371683,369884651,1998,7,0,1,0,0,0,0,1,0,2,Romance,Bobby Farrelly,Cameron Diaz,6.6,6.2,6.650000000000001,83929879.6764706,6.5
857,Saving Private Ryan,70000000,18.064005814299346,481840909,1998,7,0,0,1,0,0,0,0,0,3,Drama,Steven Spielberg,Tom Hanks,7.1,7.214285714285714,6.366666666666667,3424541.0281848162,7.9
8688,Snake Eyes,73000000,18.105970012811294,103891409,1998,8,0,0,0,0,0,0,0,0,2,Crime,Brian De Palma,Nicolas Cage,6.957142857142857,6.599999999999999,6.4799999999999995,13488283.64444445,5.8
9425,Soldier,75000000,18.132998684833918,14567883,1998,10,1,0,0,0,1,0,0,0,3,Action,Paul W.S. Anderson,Kurt Russell,5.95,6.6625,6.650000000000001,-10843927.200354606,6.1
9798,Enemy of the State,90000000,18.31532023940565,250649836,1998,11,1,0,1,0,0,0,0,1,3,Action,Tony Scott,Will Smith,6.483333333333334,6.7,6.50625,-10843927.200354606,6.7
8224,8MM,40000000,17.50439003707821,96618699,1999,2,0,0,0,0,0,0,0,1,3,Thriller,Joel Schumacher,Nicolas Cage,5.983333333333333,6.485714285714285,6.916666666666667,-38281991.02586207,6.1
8914,Deep Blue Sea,60000000,17.909855136853043,73648228,1999,7,1,0,0,0,1,0,0,1,3,Action,Renny Harlin,Thomas Jane,6.228571428571429,7.5,7.063333333333333,-56804262.78368795,5.6
12220,The Story of Us,50000000,17.72753358339242,58900031,1999,10,0,1,1,0,0,0,1,0,3,Comedy,Rob Reiner,Bruce Willis,7.26,6.75,6.871428571428571,-21973058.557383634,5.9
550,Fight Club,63000000,17.958645300228824,100853753,1999,10,0,0,1,0,0,0,0,0,1,Drama,David Fincher,Edward Norton,7.266666666666667,7.55,6.304761904761905,-14434761.133920453,8.3
1832,Dogma,10000000,16.118095750958314,30652890,1999,11,0,1,0,0,0,0,0,0,3,Fantasy,Kevin Smith,Ben Affleck,6.966666666666666,6.779999999999999,6.805000000000001,-102249734.46470588,6.8
9563,Any Given Sunday,55000000,17.822843761378564,100230832,1999,12,0,0,1,0,0,0,0,0,1,Drama,Oliver Stone,Al Pacino,7.028571428571429,7.38,6.448333333333332,-14434761.133920453,6.8
